Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report,Season,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Poss,Team,Result_Num,Opponent_Num,Venue_Num,Team_Num
2024-07-05,19:00,Regular Season,Fri,Home,W,1.0,0.0,Wave,1.0,17.0,8.0,47.1,0.06,0.13,14.4,0.0,0.0,0.0,2.4,2.4,0.14,-1.4,-1.4,Match Report,2024,1.0,0.0,7.0,7.0,2.0,14.0,12.0,9.0,0.0,0.0,0.0,50.0,44.0,Portland Thorns,1,13,1,0
2024-08-24,14:30,Regular Season,Sat,Away,L,0.0,2.0,Gotham FC,0.0,9.0,3.0,33.3,0.0,0.0,17.8,0.0,0.0,0.0,0.4,0.4,0.04,-0.4,-0.4,Match Report,2024,1.0,0.0,9.0,8.0,2.0,12.0,12.0,17.0,0.0,0.0,0.0,49.0,48.0,Portland Thorns,-1,5,0,0
2024-08-30,19:00,Regular Season,Fri,Home,L,1.0,3.0,Bay FC,1.0,10.0,5.0,50.0,0.1,0.2,21.1,1.0,0.0,0.0,1.1,1.1,0.11,-0.1,-0.1,Match Report,2024,1.0,0.0,7.0,18.0,3.0,19.0,7.0,12.0,0.0,0.0,0.0,50.0,56.0,Portland Thorns,-1,1,1,0
2024-09-07,12:30,Regular Season,Sat,Away,L,1.0,2.0,Spirit,1.0,13.0,8.0,61.5,0.08,0.13,17.3,0.0,0.0,0.0,1.8,1.8,0.14,-0.8,-0.8,Match Report,2024,0.0,0.0,6.0,13.0,3.0,12.0,15.0,8.0,0.0,0.0,0.0,56.0,48.0,Portland Thorns,-1,12,0,0
2024-09-13,19:00,Regular Season,Fri,Home,L,0.0,1.0,Red Stars,0.0,14.0,2.0,14.3,0.0,0.0,19.0,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,Match Report,2024,2.0,0.0,7.0,7.0,2.0,20.0,8.0,9.0,0.0,1.0,0.0,42.0,55.0,Portland Thorns,-1,9,1,0
2024-09-23,19:00,Regular Season,Mon,Away,D,2.0,2.0,Angel City,2.0,13.0,7.0,53.8,0.15,0.29,15.8,0.0,0.0,0.0,1.6,1.6,0.13,0.4,0.4,Match Report,2024,1.0,0.0,9.0,9.0,3.0,13.0,11.0,15.0,0.0,0.0,0.0,56.0,44.0,Portland Thorns,0,0,0,0
2024-09-28,19:00,Regular Season,Sat,Away,L,0.0,2.0,Wave,0.0,16.0,6.0,37.5,0.0,0.0,21.5,0.0,0.0,0.0,1.0,1.0,0.06,-1.0,-1.0,Match Report,2024,0.0,0.0,11.0,8.0,0.0,11.0,15.0,12.0,0.0,0.0,0.0,55.0,42.0,Portland Thorns,-1,13,0,0
2024-10-05,19:00,Regular Season,Sat,Home,L,1.0,2.0,Royals,1.0,12.0,3.0,25.0,0.0,0.0,15.5,0.0,1.0,1.0,2.0,1.3,0.11,-1.0,-1.3,Match Report,2024,0.0,0.0,9.0,7.0,0.0,12.0,13.0,13.0,1.0,0.0,0.0,52.0,45.0,Portland Thorns,-1,11,1,0
2024-10-11,19:00,Regular Season,Fri,Home,W,2.0,0.0,Pride,2.0,16.0,6.0,37.5,0.13,0.33,19.2,0.0,0.0,0.0,1.3,1.3,0.08,0.7,0.7,Match Report,2024,2.0,0.0,11.0,8.0,0.0,10.0,12.0,24.0,0.0,0.0,0.0,52.0,43.0,Portland Thorns,1,8,1,0
2024-10-19,19:30,Regular Season,Sat,Away,L,0.0,1.0,Louisville,0.0,14.0,6.0,42.9,0.0,0.0,18.6,0.0,0.0,0.0,1.0,1.0,0.07,-1.0,-1.0,Match Report,2024,2.0,0.0,17.0,13.0,1.0,8.0,9.0,8.0,0.0,0.0,0.0,51.0,54.0,Portland Thorns,-1,7,0,0
2024-11-01,19:00,Regular Season,Fri,Home,W,3.0,0.0,Angel City,3.0,11.0,6.0,54.5,0.27,0.5,12.9,0.0,0.0,0.0,1.5,1.5,0.14,1.5,1.5,Match Report,2024,0.0,0.0,6.0,11.0,2.0,6.0,14.0,16.0,0.0,0.0,0.0,57.0,36.0,Portland Thorns,1,0,1,0
2024-11-10,15:00,Quarterfinals,Sun,Away,L,1.0,2.0,Gotham FC,1.0,7.0,2.0,28.6,0.14,0.5,16.4,0.0,0.0,0.0,0.7,0.7,0.1,0.3,0.3,Match Report,2024,0.0,0.0,9.0,11.0,1.0,11.0,11.0,15.0,0.0,0.0,0.0,45.0,43.0,Portland Thorns,-1,5,0,0
2025-03-15,11:45,Regular Season,Sat,Away,L,1.0,3.0,Current,1.0,11.0,3.0,27.3,0.09,0.33,22.0,1.0,0.0,1.0,1.2,0.5,0.04,-0.2,0.5,Match Report,2025,2.0,0.0,8.0,10.0,1.0,11.0,13.0,10.0,0.0,0.0,0.0,58.0,52.0,Portland Thorns,-1,3,0,0
2025-03-21,19:00,Regular Season,Fri,Home,D,1.0,1.0,Angel City,1.0,21.0,9.0,42.9,0.05,0.11,19.8,0.0,0.0,0.0,1.7,1.7,0.08,-0.7,-0.7,Match Report,2025,1.0,0.0,7.0,11.0,3.0,16.0,12.0,12.0,0.0,0.0,0.0,41.0,47.0,Portland Thorns,0,0,1,0
2025-03-29,19:00,Regular Season,Sat,Home,D,0.0,0.0,Courage,0.0,19.0,2.0,10.5,0.0,0.0,15.1,0.0,0.0,0.0,1.7,1.7,0.09,-1.7,-1.7,Match Report,2025,1.0,0.0,9.0,4.0,1.0,18.0,8.0,15.0,0.0,1.0,0.0,58.0,43.0,Portland Thorns,0,2,1,0
